Characteristic,Sex,Race/ethnicity,Age,Year,"Rate (per 1,000 children)",Notes
"Total - Female, Hispanic",Female,Hispanic,,2008,10.3,"Some 2008 through 2012 estimates for race/ethnicity were revised in from previously published figures; these data were updated to include resubmissions from states, and the rates were calculated using the 2012 child population estimates from the U.S. Census Bureau. The count of child victims is based on the number of investigations or assessments by Child Protective Services that found the child to be a victim of one or more types of maltreatment. The count of victims is, therefore, a report-based count and is a “duplicated count,” because an individual child may have been maltreated more than once. Substantiated maltreatment includes the dispositions of substantiated, indicated, or alternative response victim. Rates are based on the number of states submitting data to the National Child Abuse and Neglect Data System (NCANDS) each year; states include the District of Columbia and Puerto Rico. Not all states report in all years or in all data categories. Rates from 1998 to 1999 are based on aggregated data submitted by states; rates from 2000 to present are based on case-level data submitted by the states. The reporting year changed in 2003 from the calendar year to the Federal fiscal year. Additional technical notes are available in the annual reports entitled Child Maltreatment. These reports are available on the Internet at http://www.acf.hhs.gov/programs/cb/research-data-technology/statistics-research/child-maltreatment. The revised 1997 Office of Management and Budget (OMB) standards were used for race/ethnicity, where respondents could choose one or more of five racial groups: White, Black or African American, Asian, Native Hawaiian or Other Pacific Islander, or American Indian or Alaska Native. Those reporting more than one race were classified as “Two or more races.” In addition, data on race/ethnicity are collected separately but are combined for reporting. Persons of Hispanic ethnicity may be of any race. Data since 2007 are not directly comparable with prior years as differences may be partially attributed to changes in one state’s procedures for determination of maltreatment."
"Total - Female, Hispanic",Female,Hispanic,,2009,10,"Some 2008 through 2012 estimates for race/ethnicity were revised in from previously published figures; these data were updated to include resubmissions from states, and the rates were calculated using the 2012 child population estimates from the U.S. Census Bureau. The count of child victims is based on the number of investigations or assessments by Child Protective Services that found the child to be a victim of one or more types of maltreatment. The count of victims is, therefore, a report-based count and is a “duplicated count,” because an individual child may have been maltreated more than once. Substantiated maltreatment includes the dispositions of substantiated, indicated, or alternative response victim. Rates are based on the number of states submitting data to the National Child Abuse and Neglect Data System (NCANDS) each year; states include the District of Columbia and Puerto Rico. Not all states report in all years or in all data categories. Rates from 1998 to 1999 are based on aggregated data submitted by states; rates from 2000 to present are based on case-level data submitted by the states. The reporting year changed in 2003 from the calendar year to the Federal fiscal year. Additional technical notes are available in the annual reports entitled Child Maltreatment. These reports are available on the Internet at http://www.acf.hhs.gov/programs/cb/research-data-technology/statistics-research/child-maltreatment. The revised 1997 Office of Management and Budget (OMB) standards were used for race/ethnicity, where respondents could choose one or more of five racial groups: White, Black or African American, Asian, Native Hawaiian or Other Pacific Islander, or American Indian or Alaska Native. Those reporting more than one race were classified as “Two or more races.” In addition, data on race/ethnicity are collected separately but are combined for reporting. Persons of Hispanic ethnicity may be of any race. Data since 2007 are not directly comparable with prior years as differences may be partially attributed to changes in one state’s procedures for determination of maltreatment."
"Total - Female, Hispanic",Female,Hispanic,,2010,9.9,"Some 2008 through 2012 estimates for race/ethnicity were revised in from previously published figures; these data were updated to include resubmissions from states, and the rates were calculated using the 2012 child population estimates from the U.S. Census Bureau. The count of child victims is based on the number of investigations or assessments by Child Protective Services that found the child to be a victim of one or more types of maltreatment. The count of victims is, therefore, a report-based count and is a “duplicated count,” because an individual child may have been maltreated more than once. Substantiated maltreatment includes the dispositions of substantiated, indicated, or alternative response victim. Rates are based on the number of states submitting data to the National Child Abuse and Neglect Data System (NCANDS) each year; states include the District of Columbia and Puerto Rico. Not all states report in all years or in all data categories. Rates from 1998 to 1999 are based on aggregated data submitted by states; rates from 2000 to present are based on case-level data submitted by the states. The reporting year changed in 2003 from the calendar year to the Federal fiscal year. Additional technical notes are available in the annual reports entitled Child Maltreatment. These reports are available on the Internet at http://www.acf.hhs.gov/programs/cb/research-data-technology/statistics-research/child-maltreatment. The revised 1997 Office of Management and Budget (OMB) standards were used for race/ethnicity, where respondents could choose one or more of five racial groups: White, Black or African American, Asian, Native Hawaiian or Other Pacific Islander, or American Indian or Alaska Native. Those reporting more than one race were classified as “Two or more races.” In addition, data on race/ethnicity are collected separately but are combined for reporting. Persons of Hispanic ethnicity may be of any race. Data since 2007 are not directly comparable with prior years as differences may be partially attributed to changes in one state’s procedures for determination of maltreatment."
"Total - Female, Hispanic",Female,Hispanic,,2011,9.9,"Some 2008 through 2012 estimates for race/ethnicity were revised in from previously published figures; these data were updated to include resubmissions from states, and the rates were calculated using the 2012 child population estimates from the U.S. Census Bureau. The count of child victims is based on the number of investigations or assessments by Child Protective Services that found the child to be a victim of one or more types of maltreatment. The count of victims is, therefore, a report-based count and is a “duplicated count,” because an individual child may have been maltreated more than once. Substantiated maltreatment includes the dispositions of substantiated, indicated, or alternative response victim. Rates are based on the number of states submitting data to the National Child Abuse and Neglect Data System (NCANDS) each year; states include the District of Columbia and Puerto Rico. Not all states report in all years or in all data categories. Rates from 1998 to 1999 are based on aggregated data submitted by states; rates from 2000 to present are based on case-level data submitted by the states. The reporting year changed in 2003 from the calendar year to the Federal fiscal year. Additional technical notes are available in the annual reports entitled Child Maltreatment. These reports are available on the Internet at http://www.acf.hhs.gov/programs/cb/research-data-technology/statistics-research/child-maltreatment. The revised 1997 Office of Management and Budget (OMB) standards were used for race/ethnicity, where respondents could choose one or more of five racial groups: White, Black or African American, Asian, Native Hawaiian or Other Pacific Islander, or American Indian or Alaska Native. Those reporting more than one race were classified as “Two or more races.” In addition, data on race/ethnicity are collected separately but are combined for reporting. Persons of Hispanic ethnicity may be of any race. Data since 2007 are not directly comparable with prior years as differences may be partially attributed to changes in one state’s procedures for determination of maltreatment."
"Total - Female, Hispanic",Female,Hispanic,,2012,9.5,"Some 2008 through 2012 estimates for race/ethnicity were revised in from previously published figures; these data were updated to include resubmissions from states, and the rates were calculated using the 2012 child population estimates from the U.S. Census Bureau. The count of child victims is based on the number of investigations or assessments by Child Protective Services that found the child to be a victim of one or more types of maltreatment. The count of victims is, therefore, a report-based count and is a “duplicated count,” because an individual child may have been maltreated more than once. Substantiated maltreatment includes the dispositions of substantiated, indicated, or alternative response victim. Rates are based on the number of states submitting data to the National Child Abuse and Neglect Data System (NCANDS) each year; states include the District of Columbia and Puerto Rico. Not all states report in all years or in all data categories. Rates from 1998 to 1999 are based on aggregated data submitted by states; rates from 2000 to present are based on case-level data submitted by the states. The reporting year changed in 2003 from the calendar year to the Federal fiscal year. Additional technical notes are available in the annual reports entitled Child Maltreatment. These reports are available on the Internet at http://www.acf.hhs.gov/programs/cb/research-data-technology/statistics-research/child-maltreatment. The revised 1997 Office of Management and Budget (OMB) standards were used for race/ethnicity, where respondents could choose one or more of five racial groups: White, Black or African American, Asian, Native Hawaiian or Other Pacific Islander, or American Indian or Alaska Native. Those reporting more than one race were classified as “Two or more races.” In addition, data on race/ethnicity are collected separately but are combined for reporting. Persons of Hispanic ethnicity may be of any race. Data since 2007 are not directly comparable with prior years as differences may be partially attributed to changes in one state’s procedures for determination of maltreatment."
"Total - Female, Hispanic",Female,Hispanic,,2013,9.6,"Some 2008 through 2012 estimates for race/ethnicity were revised in from previously published figures; these data were updated to include resubmissions from states, and the rates were calculated using the 2012 child population estimates from the U.S. Census Bureau. The count of child victims is based on the number of investigations or assessments by Child Protective Services that found the child to be a victim of one or more types of maltreatment. The count of victims is, therefore, a report-based count and is a “duplicated count,” because an individual child may have been maltreated more than once. Substantiated maltreatment includes the dispositions of substantiated, indicated, or alternative response victim. Rates are based on the number of states submitting data to the National Child Abuse and Neglect Data System (NCANDS) each year; states include the District of Columbia and Puerto Rico. Not all states report in all years or in all data categories. Rates from 1998 to 1999 are based on aggregated data submitted by states; rates from 2000 to present are based on case-level data submitted by the states. The reporting year changed in 2003 from the calendar year to the Federal fiscal year. Additional technical notes are available in the annual reports entitled Child Maltreatment. These reports are available on the Internet at http://www.acf.hhs.gov/programs/cb/research-data-technology/statistics-research/child-maltreatment. The revised 1997 Office of Management and Budget (OMB) standards were used for race/ethnicity, where respondents could choose one or more of five racial groups: White, Black or African American, Asian, Native Hawaiian or Other Pacific Islander, or American Indian or Alaska Native. Those reporting more than one race were classified as “Two or more races.” In addition, data on race/ethnicity are collected separately but are combined for reporting. Persons of Hispanic ethnicity may be of any race. Data since 2007 are not directly comparable with prior years as differences may be partially attributed to changes in one state’s procedures for determination of maltreatment."
"Total - Female, Hispanic",Female,Hispanic,,2014,10,"Some 2008 through 2012 estimates for race/ethnicity were revised in from previously published figures; these data were updated to include resubmissions from states, and the rates were calculated using the 2012 child population estimates from the U.S. Census Bureau. The count of child victims is based on the number of investigations or assessments by Child Protective Services that found the child to be a victim of one or more types of maltreatment. The count of victims is, therefore, a report-based count and is a “duplicated count,” because an individual child may have been maltreated more than once. Substantiated maltreatment includes the dispositions of substantiated, indicated, or alternative response victim. Rates are based on the number of states submitting data to the National Child Abuse and Neglect Data System (NCANDS) each year; states include the District of Columbia and Puerto Rico. Not all states report in all years or in all data categories. Rates from 1998 to 1999 are based on aggregated data submitted by states; rates from 2000 to present are based on case-level data submitted by the states. The reporting year changed in 2003 from the calendar year to the Federal fiscal year. Additional technical notes are available in the annual reports entitled Child Maltreatment. These reports are available on the Internet at http://www.acf.hhs.gov/programs/cb/research-data-technology/statistics-research/child-maltreatment. The revised 1997 Office of Management and Budget (OMB) standards were used for race/ethnicity, where respondents could choose one or more of five racial groups: White, Black or African American, Asian, Native Hawaiian or Other Pacific Islander, or American Indian or Alaska Native. Those reporting more than one race were classified as “Two or more races.” In addition, data on race/ethnicity are collected separately but are combined for reporting. Persons of Hispanic ethnicity may be of any race. Data since 2007 are not directly comparable with prior years as differences may be partially attributed to changes in one state’s procedures for determination of maltreatment."
Total - Ages 0–3,,,  0–3,1998,,"Data not available. Some 2008 through 2012 estimates for race/ethnicity were revised in from previously published figures; these data were updated to include resubmissions 
from states, and the rates were calculated using the 2012 child population estimates from the U.S. Census Bureau. The count of child victims is based 
on the number of investigations or assessments by Child Protective Services that found the child to be a victim of one or more types of maltreatment. 
The count of victims is, therefore, a report-based count and is a “duplicated count,” because an individual child may have been maltreated more than once. 
Substantiated maltreatment includes the dispositions of substantiated, indicated, or alternative response victim. Rates are based on the number of states 
submitting data to the National Child Abuse and Neglect Data System (NCANDS) each year; states include the District of Columbia and Puerto Rico. Not all 
states report in all years or in all data categories. Rates from 1998 to 1999 are based on aggregated data submitted by states; rates from 2000 to present 
are based on case-level data submitted by the states. The reporting year changed in 2003 from the calendar year to the Federal fiscal year. Additional technical 
notes are available in the annual reports entitled Child Maltreatment. These reports are available on the Internet at http://www.acf.hhs.gov/programs/cb/research-data-technology/statistics-research/child-maltreatment.



vailable."
Total - Ages 0–3,,,  0–3,1999,,"Data not available. Some 2008 through 2012 estimates for race/ethnicity were revised in from previously published figures; these data were updated to include resubmissions 
from states, and the rates were calculated using the 2012 child population estimates from the U.S. Census Bureau. The count of child victims is based 
on the number of investigations or assessments by Child Protective Services that found the child to be a victim of one or more types of maltreatment. 
The count of victims is, therefore, a report-based count and is a “duplicated count,” because an individual child may have been maltreated more than once. 
Substantiated maltreatment includes the dispositions of substantiated, indicated, or alternative response victim. Rates are based on the number of states 
submitting data to the National Child Abuse and Neglect Data System (NCANDS) each year; states include the District of Columbia and Puerto Rico. Not all 
states report in all years or in all data categories. Rates from 1998 to 1999 are based on aggregated data submitted by states; rates from 2000 to present 
are based on case-level data submitted by the states. The reporting year changed in 2003 from the calendar year to the Federal fiscal year. Additional technical 
notes are available in the annual reports entitled Child Maltreatment. These reports are available on the Internet at http://www.acf.hhs.gov/programs/cb/research-data-technology/statistics-research/child-maltreatment.



vailable."
Total - Ages 0–3,,,  0–3,2000,15.7,"Some 2008 through 2012 estimates for race/ethnicity were revised in from previously published figures; these data were updated to include resubmissions from states, and the rates were calculated using the 2012 child population estimates from the U.S. Census Bureau. The count of child victims is based on the number of investigations or assessments by Child Protective Services that found the child to be a victim of one or more types of maltreatment. The count of victims is, therefore, a report-based count and is a “duplicated count,” because an individual child may have been maltreated more than once. Substantiated maltreatment includes the dispositions of substantiated, indicated, or alternative response victim. Rates are based on the number of states submitting data to the National Child Abuse and Neglect Data System (NCANDS) each year; states include the District of Columbia and Puerto Rico. Not all states report in all years or in all data categories. Rates from 1998 to 1999 are based on aggregated data submitted by states; rates from 2000 to present are based on case-level data submitted by the states. The reporting year changed in 2003 from the calendar year to the Federal fiscal year. Additional technical notes are available in the annual reports entitled Child Maltreatment. These reports are available on the Internet at http://www.acf.hhs.gov/programs/cb/research-data-technology/statistics-research/child-maltreatment."
Total - Ages 0–3,,,  0–3,2001,16.1,"Some 2008 through 2012 estimates for race/ethnicity were revised in from previously published figures; these data were updated to include resubmissions from states, and the rates were calculated using the 2012 child population estimates from the U.S. Census Bureau. The count of child victims is based on the number of investigations or assessments by Child Protective Services that found the child to be a victim of one or more types of maltreatment. The count of victims is, therefore, a report-based count and is a “duplicated count,” because an individual child may have been maltreated more than once. Substantiated maltreatment includes the dispositions of substantiated, indicated, or alternative response victim. Rates are based on the number of states submitting data to the National Child Abuse and Neglect Data System (NCANDS) each year; states include the District of Columbia and Puerto Rico. Not all states report in all years or in all data categories. Rates from 1998 to 1999 are based on aggregated data submitted by states; rates from 2000 to present are based on case-level data submitted by the states. The reporting year changed in 2003 from the calendar year to the Federal fiscal year. Additional technical notes are available in the annual reports entitled Child Maltreatment. These reports are available on the Internet at http://www.acf.hhs.gov/programs/cb/research-data-technology/statistics-research/child-maltreatment."
Total - Ages 0–3,,,  0–3,2002,16.1,"Some 2008 through 2012 estimates for race/ethnicity were revised in from previously published figures; these data were updated to include resubmissions from states, and the rates were calculated using the 2012 child population estimates from the U.S. Census Bureau. The count of child victims is based on the number of investigations or assessments by Child Protective Services that found the child to be a victim of one or more types of maltreatment. The count of victims is, therefore, a report-based count and is a “duplicated count,” because an individual child may have been maltreated more than once. Substantiated maltreatment includes the dispositions of substantiated, indicated, or alternative response victim. Rates are based on the number of states submitting data to the National Child Abuse and Neglect Data System (NCANDS) each year; states include the District of Columbia and Puerto Rico. Not all states report in all years or in all data categories. Rates from 1998 to 1999 are based on aggregated data submitted by states; rates from 2000 to present are based on case-level data submitted by the states. The reporting year changed in 2003 from the calendar year to the Federal fiscal year. Additional technical notes are available in the annual reports entitled Child Maltreatment. These reports are available on the Internet at http://www.acf.hhs.gov/programs/cb/research-data-technology/statistics-research/child-maltreatment."
Total - Ages 0–3,,,  0–3,2003,16.1,"Some 2008 through 2012 estimates for race/ethnicity were revised in from previously published figures; these data were updated to include resubmissions from states, and the rates were calculated using the 2012 child population estimates from the U.S. Census Bureau. The count of child victims is based on the number of investigations or assessments by Child Protective Services that found the child to be a victim of one or more types of maltreatment. The count of victims is, therefore, a report-based count and is a “duplicated count,” because an individual child may have been maltreated more than once. Substantiated maltreatment includes the dispositions of substantiated, indicated, or alternative response victim. Rates are based on the number of states submitting data to the National Child Abuse and Neglect Data System (NCANDS) each year; states include the District of Columbia and Puerto Rico. Not all states report in all years or in all data categories. Rates from 1998 to 1999 are based on aggregated data submitted by states; rates from 2000 to present are based on case-level data submitted by the states. The reporting year changed in 2003 from the calendar year to the Federal fiscal year. Additional technical notes are available in the annual reports entitled Child Maltreatment. These reports are available on the Internet at http://www.acf.hhs.gov/programs/cb/research-data-technology/statistics-research/child-maltreatment."
Total - Ages 0–3,,,  0–3,2004,16,"Some 2008 through 2012 estimates for race/ethnicity were revised in from previously published figures; these data were updated to include resubmissions from states, and the rates were calculated using the 2012 child population estimates from the U.S. Census Bureau. The count of child victims is based on the number of investigations or assessments by Child Protective Services that found the child to be a victim of one or more types of maltreatment. The count of victims is, therefore, a report-based count and is a “duplicated count,” because an individual child may have been maltreated more than once. Substantiated maltreatment includes the dispositions of substantiated, indicated, or alternative response victim. Rates are based on the number of states submitting data to the National Child Abuse and Neglect Data System (NCANDS) each year; states include the District of Columbia and Puerto Rico. Not all states report in all years or in all data categories. Rates from 1998 to 1999 are based on aggregated data submitted by states; rates from 2000 to present are based on case-level data submitted by the states. The reporting year changed in 2003 from the calendar year to the Federal fiscal year. Additional technical notes are available in the annual reports entitled Child Maltreatment. These reports are available on the Internet at http://www.acf.hhs.gov/programs/cb/research-data-technology/statistics-research/child-maltreatment."
Total - Ages 0–3,,,  0–3,2005,16.5,"Some 2008 through 2012 estimates for race/ethnicity were revised in from previously published figures; these data were updated to include resubmissions from states, and the rates were calculated using the 2012 child population estimates from the U.S. Census Bureau. The count of child victims is based on the number of investigations or assessments by Child Protective Services that found the child to be a victim of one or more types of maltreatment. The count of victims is, therefore, a report-based count and is a “duplicated count,” because an individual child may have been maltreated more than once. Substantiated maltreatment includes the dispositions of substantiated, indicated, or alternative response victim. Rates are based on the number of states submitting data to the National Child Abuse and Neglect Data System (NCANDS) each year; states include the District of Columbia and Puerto Rico. Not all states report in all years or in all data categories. Rates from 1998 to 1999 are based on aggregated data submitted by states; rates from 2000 to present are based on case-level data submitted by the states. The reporting year changed in 2003 from the calendar year to the Federal fiscal year. Additional technical notes are available in the annual reports entitled Child Maltreatment. These reports are available on the Internet at http://www.acf.hhs.gov/programs/cb/research-data-technology/statistics-research/child-maltreatment."
Total - Ages 0–3,,,  0–3,2006,16.8,"Some 2008 through 2012 estimates for race/ethnicity were revised in from previously published figures; these data were updated to include resubmissions from states, and the rates were calculated using the 2012 child population estimates from the U.S. Census Bureau. The count of child victims is based on the number of investigations or assessments by Child Protective Services that found the child to be a victim of one or more types of maltreatment. The count of victims is, therefore, a report-based count and is a “duplicated count,” because an individual child may have been maltreated more than once. Substantiated maltreatment includes the dispositions of substantiated, indicated, or alternative response victim. Rates are based on the number of states submitting data to the National Child Abuse and Neglect Data System (NCANDS) each year; states include the District of Columbia and Puerto Rico. Not all states report in all years or in all data categories. Rates from 1998 to 1999 are based on aggregated data submitted by states; rates from 2000 to present are based on case-level data submitted by the states. The reporting year changed in 2003 from the calendar year to the Federal fiscal year. Additional technical notes are available in the annual reports entitled Child Maltreatment. These reports are available on the Internet at http://www.acf.hhs.gov/programs/cb/research-data-technology/statistics-research/child-maltreatment."
Total - Ages 0–3,,,  0–3,2007,15,"Some 2008 through 2012 estimates for race/ethnicity were revised in from previously published figures; these data were updated to include resubmissions from states, and the rates were calculated using the 2012 child population estimates from the U.S. Census Bureau. The count of child victims is based on the number of investigations or assessments by Child Protective Services that found the child to be a victim of one or more types of maltreatment. The count of victims is, therefore, a report-based count and is a “duplicated count,” because an individual child may have been maltreated more than once. Substantiated maltreatment includes the dispositions of substantiated, indicated, or alternative response victim. Rates are based on the number of states submitting data to the National Child Abuse and Neglect Data System (NCANDS) each year; states include the District of Columbia and Puerto Rico. Not all states report in all years or in all data categories. Rates from 1998 to 1999 are based on aggregated data submitted by states; rates from 2000 to present are based on case-level data submitted by the states. The reporting year changed in 2003 from the calendar year to the Federal fiscal year. Additional technical notes are available in the annual reports entitled Child Maltreatment. These reports are available on the Internet at http://www.acf.hhs.gov/programs/cb/research-data-technology/statistics-research/child-maltreatment. Data since 2007 are not directly comparable with prior years as differences may be partially attributed to changes in one state’s procedures for determination of maltreatment."
Total - Ages 0–3,,,  0–3,2008,14.7,"Some 2008 through 2012 estimates for race/ethnicity were revised in from previously published figures; these data were updated to include resubmissions from states, and the rates were calculated using the 2012 child population estimates from the U.S. Census Bureau. The count of child victims is based on the number of investigations or assessments by Child Protective Services that found the child to be a victim of one or more types of maltreatment. The count of victims is, therefore, a report-based count and is a “duplicated count,” because an individual child may have been maltreated more than once. Substantiated maltreatment includes the dispositions of substantiated, indicated, or alternative response victim. Rates are based on the number of states submitting data to the National Child Abuse and Neglect Data System (NCANDS) each year; states include the District of Columbia and Puerto Rico. Not all states report in all years or in all data categories. Rates from 1998 to 1999 are based on aggregated data submitted by states; rates from 2000 to present are based on case-level data submitted by the states. The reporting year changed in 2003 from the calendar year to the Federal fiscal year. Additional technical notes are available in the annual reports entitled Child Maltreatment. These reports are available on the Internet at http://www.acf.hhs.gov/programs/cb/research-data-technology/statistics-research/child-maltreatment. Data since 2007 are not directly comparable with prior years as differences may be partially attributed to changes in one state’s procedures for determination of maltreatment."
Total - Ages 0–3,,,  0–3,2009,14.6,"Some 2008 through 2012 estimates for race/ethnicity were revised in from previously published figures; these data were updated to include resubmissions from states, and the rates were calculated using the 2012 child population estimates from the U.S. Census Bureau. The count of child victims is based on the number of investigations or assessments by Child Protective Services that found the child to be a victim of one or more types of maltreatment. The count of victims is, therefore, a report-based count and is a “duplicated count,” because an individual child may have been maltreated more than once. Substantiated maltreatment includes the dispositions of substantiated, indicated, or alternative response victim. Rates are based on the number of states submitting data to the National Child Abuse and Neglect Data System (NCANDS) each year; states include the District of Columbia and Puerto Rico. Not all states report in all years or in all data categories. Rates from 1998 to 1999 are based on aggregated data submitted by states; rates from 2000 to present are based on case-level data submitted by the states. The reporting year changed in 2003 from the calendar year to the Federal fiscal year. Additional technical notes are available in the annual reports entitled Child Maltreatment. These reports are available on the Internet at http://www.acf.hhs.gov/programs/cb/research-data-technology/statistics-research/child-maltreatment. Data since 2007 are not directly comparable with prior years as differences may be partially attributed to changes in one state’s procedures for determination of maltreatment."
Total - Ages 0–3,,,  0–3,2010,14.7,"Some 2008 through 2012 estimates for race/ethnicity were revised in from previously published figures; these data were updated to include resubmissions from states, and the rates were calculated using the 2012 child population estimates from the U.S. Census Bureau. The count of child victims is based on the number of investigations or assessments by Child Protective Services that found the child to be a victim of one or more types of maltreatment. The count of victims is, therefore, a report-based count and is a “duplicated count,” because an individual child may have been maltreated more than once. Substantiated maltreatment includes the dispositions of substantiated, indicated, or alternative response victim. Rates are based on the number of states submitting data to the National Child Abuse and Neglect Data System (NCANDS) each year; states include the District of Columbia and Puerto Rico. Not all states report in all years or in all data categories. Rates from 1998 to 1999 are based on aggregated data submitted by states; rates from 2000 to present are based on case-level data submitted by the states. The reporting year changed in 2003 from the calendar year to the Federal fiscal year. Additional technical notes are available in the annual reports entitled Child Maltreatment. These reports are available on the Internet at http://www.acf.hhs.gov/programs/cb/research-data-technology/statistics-research/child-maltreatment. Data since 2007 are not directly comparable with prior years as differences may be partially attributed to changes in one state’s procedures for determination of maltreatment."
Total - Ages 0–3,,,  0–3,2011,15.5,"Some 2008 through 2012 estimates for race/ethnicity were revised in from previously published figures; these data were updated to include resubmissions from states, and the rates were calculated using the 2012 child population estimates from the U.S. Census Bureau. The count of child victims is based on the number of investigations or assessments by Child Protective Services that found the child to be a victim of one or more types of maltreatment. The count of victims is, therefore, a report-based count and is a “duplicated count,” because an individual child may have been maltreated more than once. Substantiated maltreatment includes the dispositions of substantiated, indicated, or alternative response victim. Rates are based on the number of states submitting data to the National Child Abuse and Neglect Data System (NCANDS) each year; states include the District of Columbia and Puerto Rico. Not all states report in all years or in all data categories. Rates from 1998 to 1999 are based on aggregated data submitted by states; rates from 2000 to present are based on case-level data submitted by the states. The reporting year changed in 2003 from the calendar year to the Federal fiscal year. Additional technical notes are available in the annual reports entitled Child Maltreatment. These reports are available on the Internet at http://www.acf.hhs.gov/programs/cb/research-data-technology/statistics-research/child-maltreatment. Data since 2007 are not directly comparable with prior years as differences may be partially attributed to changes in one state’s procedures for determination of maltreatment."
Total - Ages 0–3,,,  0–3,2012,15.3,"Some 2008 through 2012 estimates for race/ethnicity were revised in from previously published figures; these data were updated to include resubmissions from states, and the rates were calculated using the 2012 child population estimates from the U.S. Census Bureau. The count of child victims is based on the number of investigations or assessments by Child Protective Services that found the child to be a victim of one or more types of maltreatment. The count of victims is, therefore, a report-based count and is a “duplicated count,” because an individual child may have been maltreated more than once. Substantiated maltreatment includes the dispositions of substantiated, indicated, or alternative response victim. Rates are based on the number of states submitting data to the National Child Abuse and Neglect Data System (NCANDS) each year; states include the District of Columbia and Puerto Rico. Not all states report in all years or in all data categories. Rates from 1998 to 1999 are based on aggregated data submitted by states; rates from 2000 to present are based on case-level data submitted by the states. The reporting year changed in 2003 from the calendar year to the Federal fiscal year. Additional technical notes are available in the annual reports entitled Child Maltreatment. These reports are available on the Internet at http://www.acf.hhs.gov/programs/cb/research-data-technology/statistics-research/child-maltreatment. Data since 2007 are not directly comparable with prior years as differences may be partially attributed to changes in one state’s procedures for determination of maltreatment."
Total - Ages 0–3,,,  0–3,2013,15.4,"Some 2008 through 2012 estimates for race/ethnicity were revised in from previously published figures; these data were updated to include resubmissions from states, and the rates were calculated using the 2012 child population estimates from the U.S. Census Bureau. The count of child victims is based on the number of investigations or assessments by Child Protective Services that found the child to be a victim of one or more types of maltreatment. The count of victims is, therefore, a report-based count and is a “duplicated count,” because an individual child may have been maltreated more than once. Substantiated maltreatment includes the dispositions of substantiated, indicated, or alternative response victim. Rates are based on the number of states submitting data to the National Child Abuse and Neglect Data System (NCANDS) each year; states include the District of Columbia and Puerto Rico. Not all states report in all years or in all data categories. Rates from 1998 to 1999 are based on aggregated data submitted by states; rates from 2000 to present are based on case-level data submitted by the states. The reporting year changed in 2003 from the calendar year to the Federal fiscal year. Additional technical notes are available in the annual reports entitled Child Maltreatment. These reports are available on the Internet at http://www.acf.hhs.gov/programs/cb/research-data-technology/statistics-research/child-maltreatment. Data since 2007 are not directly comparable with prior years as differences may be partially attributed to changes in one state’s procedures for determination of maltreatment."
Total - Ages 0–3,,,  0–3,2014,15.9,"Some 2008 through 2012 estimates for race/ethnicity were revised in from previously published figures; these data were updated to include resubmissions from states, and the rates were calculated using the 2012 child population estimates from the U.S. Census Bureau. The count of child victims is based on the number of investigations or assessments by Child Protective Services that found the child to be a victim of one or more types of maltreatment. The count of victims is, therefore, a report-based count and is a “duplicated count,” because an individual child may have been maltreated more than once. Substantiated maltreatment includes the dispositions of substantiated, indicated, or alternative response victim. Rates are based on the number of states submitting data to the National Child Abuse and Neglect Data System (NCANDS) each year; states include the District of Columbia and Puerto Rico. Not all states report in all years or in all data categories. Rates from 1998 to 1999 are based on aggregated data submitted by states; rates from 2000 to present are based on case-level data submitted by the states. The reporting year changed in 2003 from the calendar year to the Federal fiscal year. Additional technical notes are available in the annual reports entitled Child Maltreatment. These reports are available on the Internet at http://www.acf.hhs.gov/programs/cb/research-data-technology/statistics-research/child-maltreatment. Data since 2007 are not directly comparable with prior years as differences may be partially attributed to changes in one state’s procedures for determination of maltreatment."
Total - Age <1,,, <1,1998,,"Data not available. Some 2008 through 2012 estimates for race/ethnicity were revised in from previously published figures; these data were updated to include resubmissions 
from states, and the rates were calculated using the 2012 child population estimates from the U.S. Census Bureau. The count of child victims is based 
on the number of investigations or assessments by Child Protective Services that found the child to be a victim of one or more types of maltreatment. 
The count of victims is, therefore, a report-based count and is a “duplicated count,” because an individual child may have been maltreated more than once. 
Substantiated maltreatment includes the dispositions of substantiated, indicated, or alternative response victim. Rates are based on the number of states 
submitting data to the National Child Abuse and Neglect Data System (NCANDS) each year; states include the District of Columbia and Puerto Rico. Not all 
states report in all years or in all data categories. Rates from 1998 to 1999 are based on aggregated data submitted by states; rates from 2000 to present 
are based on case-level data submitted by the states. The reporting year changed in 2003 from the calendar year to the Federal fiscal year. Additional technical 
notes are available in the annual reports entitled Child Maltreatment. These reports are available on the Internet at http://www.acf.hhs.gov/programs/cb/research-data-technology/statistics-research/child-maltreatment.



vailable."
