Characteristic,Sex,Age,Race/ethnicity,Year,Percentage,Standard Error on Percentage,Note on Percent
"Total - Male, Ages 0–5, Hispanic",Male, 0–5,Hispanic,2013,35.7,2.2,"The source of these 2013 estimates is the portion of the CPS ASEC sample which received the redesigned income questions, approximately 30,000 addresses.
The standard errors for this data are calculated using the generalized variance function. 
For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. 
For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race."
"Total - Male, Ages 0–5, Hispanic",Male, 0–5,Hispanic,2014,34,2.2,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
"Total - Male, Ages 6–17",Male, 6–17,,2002,15.8,0.5,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
"Total - Male, Ages 6–17",Male, 6–17,,2003,16.5,0.5,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
"Total - Male, Ages 6–17",Male, 6–17,,2004,16.5,0.5,"For 2004, figures are revised to reflect a correction to the weights in the 2005 Annual Social and Economic Supplement (ASEC).
The standard errors for this data are calculated using the generalized variance function. 
For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. 
For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race."
"Total - Male, Ages 6–17",Male, 6–17,,2005,16,0.5,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
"Total - Male, Ages 6–17",Male, 6–17,,2006,15.8,0.5,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
"Total - Male, Ages 6–17",Male, 6–17,,2007,16.2,0.5,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
"Total - Male, Ages 6–17",Male, 6–17,,2008,17.5,0.6,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
"Total - Male, Ages 6–17",Male, 6–17,,2009,18.5,0.6,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
"Total - Male, Ages 6–17",Male, 6–17,,2010,20.1,0.6,"Implementation of Census 2010-based population controls.
The standard errors for this data are calculated using the generalized variance function. 
For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. 
For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
"Total - Male, Ages 6–17",Male, 6–17,,2011,19.9,0.6,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
"Total - Male, Ages 6–17",Male, 6–17,,2012,19.8,0.6,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
"Total - Male, Ages 6–17",Male, 6–17,,2013,18.5,0.6,"Data are based on the Current Population Survey (CPS) ASEC sample of 68,000 addresses. 
The 2014 CPS ASEC included redesigned questions for income and health insurance coverage. 
All of the approximately 98,000 addresses were eligible to receive the redesigned set of 
health insurance coverage questions. The redesigned income questions were implemented to 
a subsample of these 98,000 addresses using a probability split panel design. Approximately 68,000 addresses 
were eligible to receive a set of income questions similar to those used in the 2013 CPS ASEC 
and the remaining 30,000 addresses were eligible to receive the redesigned income questions. 
The source of the 2013 data for this table is the portion of the CPS ASEC sample which 
received the income questions consistent with the 2013 CPS ASEC, approximately 68,000 addresses.
The standard errors for this data are calculated using the generalized variance function. 
For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. 
For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race."
"Total - Male, Ages 6–17",Male, 6–17,,2013,20.3,0.6,"The source of these 2013 estimates is the portion of the CPS ASEC sample which received the redesigned income questions, approximately 30,000 addresses.
The standard errors for this data are calculated using the generalized variance function. 
For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. 
For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race."
"Total - Male, Ages 6–17",Male, 6–17,,2014,20,0.6,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
"Total - Male, Ages 6–17, White alone, non-Hispanic",Male, 6–17,"White alone, non-Hispanic",2002,8.7,0.5,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
"Total - Male, Ages 6–17, White alone, non-Hispanic",Male, 6–17,"White alone, non-Hispanic",2003,9.3,0.5,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
"Total - Male, Ages 6–17, White alone, non-Hispanic",Male, 6–17,"White alone, non-Hispanic",2004,9.5,0.5,"For 2004, figures are revised to reflect a correction to the weights in the 2005 Annual Social and Economic Supplement (ASEC).
The standard errors for this data are calculated using the generalized variance function. 
For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. 
For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race."
"Total - Male, Ages 6–17, White alone, non-Hispanic",Male, 6–17,"White alone, non-Hispanic",2005,8.9,0.5,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
"Total - Male, Ages 6–17, White alone, non-Hispanic",Male, 6–17,"White alone, non-Hispanic",2006,8.8,0.5,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
"Total - Male, Ages 6–17, White alone, non-Hispanic",Male, 6–17,"White alone, non-Hispanic",2007,9.2,0.5,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
"Total - Male, Ages 6–17, White alone, non-Hispanic",Male, 6–17,"White alone, non-Hispanic",2008,9.9,0.6,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
"Total - Male, Ages 6–17, White alone, non-Hispanic",Male, 6–17,"White alone, non-Hispanic",2009,10.2,0.6,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
"Total - Male, Ages 6–17, White alone, non-Hispanic",Male, 6–17,"White alone, non-Hispanic",2010,11.1,0.6,"Implementation of Census 2010-based population controls.
The standard errors for this data are calculated using the generalized variance function. 
For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. 
For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
"Total - Male, Ages 6–17, White alone, non-Hispanic",Male, 6–17,"White alone, non-Hispanic",2011,11.3,0.6,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
"Total - Male, Ages 6–17, White alone, non-Hispanic",Male, 6–17,"White alone, non-Hispanic",2012,10.8,0.6,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
"Total - Male, Ages 6–17, White alone, non-Hispanic",Male, 6–17,"White alone, non-Hispanic",2013,10.3,0.7,"Data are based on the Current Population Survey (CPS) ASEC sample of 68,000 addresses. 
The 2014 CPS ASEC included redesigned questions for income and health insurance coverage. 
All of the approximately 98,000 addresses were eligible to receive the redesigned set of 
health insurance coverage questions. The redesigned income questions were implemented to 
a subsample of these 98,000 addresses using a probability split panel design. Approximately 68,000 addresses 
were eligible to receive a set of income questions similar to those used in the 2013 CPS ASEC 
and the remaining 30,000 addresses were eligible to receive the redesigned income questions. 
The source of the 2013 data for this table is the portion of the CPS ASEC sample which 
received the income questions consistent with the 2013 CPS ASEC, approximately 68,000 addresses.
The standard errors for this data are calculated using the generalized variance function. 
For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. 
For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race."
"Total - Male, Ages 6–17, White alone, non-Hispanic",Male, 6–17,"White alone, non-Hispanic",2013,13.1,0.7,"The source of these 2013 estimates is the portion of the CPS ASEC sample which received the redesigned income questions, approximately 30,000 addresses.
The standard errors for this data are calculated using the generalized variance function. 
For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. 
For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race."
"Total - Male, Ages 6–17, White alone, non-Hispanic",Male, 6–17,"White alone, non-Hispanic",2014,12,0.7,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
"Total - Male, Ages 6–17, Black or African American alone, non-Hispanic",Male, 6–17,"Black or African American alone, non-Hispanic",2002,30.6,1.7,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
"Total - Male, Ages 6–17, Black or African American alone, non-Hispanic",Male, 6–17,"Black or African American alone, non-Hispanic",2003,31.4,1.7,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
"Total - Male, Ages 6–17, Black or African American alone, non-Hispanic",Male, 6–17,"Black or African American alone, non-Hispanic",2004,32.1,1.8,"For 2004, figures are revised to reflect a correction to the weights in the 2005 Annual Social and Economic Supplement (ASEC).
The standard errors for this data are calculated using the generalized variance function. 
For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. 
For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race."
"Total - Male, Ages 6–17, Black or African American alone, non-Hispanic",Male, 6–17,"Black or African American alone, non-Hispanic",2005,32.9,1.8,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
"Total - Male, Ages 6–17, Black or African American alone, non-Hispanic",Male, 6–17,"Black or African American alone, non-Hispanic",2006,31,1.7,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
"Total - Male, Ages 6–17, Black or African American alone, non-Hispanic",Male, 6–17,"Black or African American alone, non-Hispanic",2007,31.2,1.8,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
"Total - Male, Ages 6–17, Black or African American alone, non-Hispanic",Male, 6–17,"Black or African American alone, non-Hispanic",2008,33.1,1.8,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
"Total - Male, Ages 6–17, Black or African American alone, non-Hispanic",Male, 6–17,"Black or African American alone, non-Hispanic",2009,33,1.8,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
"Total - Male, Ages 6–17, Black or African American alone, non-Hispanic",Male, 6–17,"Black or African American alone, non-Hispanic",2010,35.2,1.9,"Implementation of Census 2010-based population controls.
The standard errors for this data are calculated using the generalized variance function. 
For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. 
For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
"Total - Male, Ages 6–17, Black or African American alone, non-Hispanic",Male, 6–17,"Black or African American alone, non-Hispanic",2011,35.7,1.9,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
"Total - Male, Ages 6–17, Black or African American alone, non-Hispanic",Male, 6–17,"Black or African American alone, non-Hispanic",2012,35.9,1.9,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
"Total - Male, Ages 6–17, Black or African American alone, non-Hispanic",Male, 6–17,"Black or African American alone, non-Hispanic",2013,35.6,2.1,"Data are based on the Current Population Survey (CPS) ASEC sample of 68,000 addresses. 
The 2014 CPS ASEC included redesigned questions for income and health insurance coverage. 
All of the approximately 98,000 addresses were eligible to receive the redesigned set of 
health insurance coverage questions. The redesigned income questions were implemented to 
a subsample of these 98,000 addresses using a probability split panel design. Approximately 68,000 addresses 
were eligible to receive a set of income questions similar to those used in the 2013 CPS ASEC 
and the remaining 30,000 addresses were eligible to receive the redesigned income questions. 
The source of the 2013 data for this table is the portion of the CPS ASEC sample which 
received the income questions consistent with the 2013 CPS ASEC, approximately 68,000 addresses.
The standard errors for this data are calculated using the generalized variance function. 
For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. 
For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race."
"Total - Male, Ages 6–17, Black or African American alone, non-Hispanic",Male, 6–17,"Black or African American alone, non-Hispanic",2013,28.8,2,"The source of these 2013 estimates is the portion of the CPS ASEC sample which received the redesigned income questions, approximately 30,000 addresses.
The standard errors for this data are calculated using the generalized variance function. 
For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. 
For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race."
"Total - Male, Ages 6–17, Black or African American alone, non-Hispanic",Male, 6–17,"Black or African American alone, non-Hispanic",2014,33.7,2,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
"Total - Male, Ages 6–17, Asian alone, non-Hispanic",Male, 6–17,"Asian alone, non-Hispanic",2002,13.9,2.6,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
"Total - Male, Ages 6–17, Asian alone, non-Hispanic",Male, 6–17,"Asian alone, non-Hispanic",2003,15.1,2.7,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
"Total - Male, Ages 6–17, Asian alone, non-Hispanic",Male, 6–17,"Asian alone, non-Hispanic",2004,9.5,2.2,"For 2004, figures are revised to reflect a correction to the weights in the 2005 Annual Social and Economic Supplement (ASEC).
The standard errors for this data are calculated using the generalized variance function. 
For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. 
For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race."
"Total - Male, Ages 6–17, Asian alone, non-Hispanic",Male, 6–17,"Asian alone, non-Hispanic",2005,12,2.4,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
"Total - Male, Ages 6–17, Asian alone, non-Hispanic",Male, 6–17,"Asian alone, non-Hispanic",2006,14.4,2.6,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
"Total - Male, Ages 6–17, Asian alone, non-Hispanic",Male, 6–17,"Asian alone, non-Hispanic",2007,14.8,2.6,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
"Total - Male, Ages 6–17, Asian alone, non-Hispanic",Male, 6–17,"Asian alone, non-Hispanic",2008,14.7,2.6,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
"Total - Male, Ages 6–17, Asian alone, non-Hispanic",Male, 6–17,"Asian alone, non-Hispanic",2009,13.2,2.4,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
"Total - Male, Ages 6–17, Asian alone, non-Hispanic",Male, 6–17,"Asian alone, non-Hispanic",2010,13.6,2.4,"Implementation of Census 2010-based population controls.
The standard errors for this data are calculated using the generalized variance function. 
For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. 
For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
"Total - Male, Ages 6–17, Asian alone, non-Hispanic",Male, 6–17,"Asian alone, non-Hispanic",2011,13.3,2.3,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
"Total - Male, Ages 6–17, Asian alone, non-Hispanic",Male, 6–17,"Asian alone, non-Hispanic",2012,13.3,2.3,"The standard errors for this data are calculated using the generalized variance function. For more information, see “Standard Errors and Their Use” at ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf. For information on confidentiality protection, sampling errors, nonsampling errors, and definitions, see ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf. 
Individuals of Hispanic ethnicity may be of any race. "
