Characteristic,Type of violent crime,Sex of head of household,Race/ethnicity,Year,Percentage,Standard Error on Percentage,Note on Percent,Count,Standard Error on Count,Note on Count
"Total - Serious violent crime, Male head of household, Black, non-Hispanic",Serious violent crime,Male head of household,"Black, non-Hispanic",2002,,,"Reporting standards not met. Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.",,,"Reporting standards not met. Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime."
"Total - Serious violent crime, Male head of household, Black, non-Hispanic",Serious violent crime,Male head of household,"Black, non-Hispanic",2003,,,"Reporting standards not met. Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.",,,"Reporting standards not met. Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime."
"Total - Serious violent crime, Male head of household, Black, non-Hispanic",Serious violent crime,Male head of household,"Black, non-Hispanic",2004,2.3,0.62,"Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.",70840,19496.3970,"Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime."
"Total - Serious violent crime, Male head of household, Black, non-Hispanic",Serious violent crime,Male head of household,"Black, non-Hispanic",2005,,,"Reporting standards not met. Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.",,,"Reporting standards not met. Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime."
"Total - Serious violent crime, Male head of household, Black, non-Hispanic",Serious violent crime,Male head of household,"Black, non-Hispanic",2006,3.5,0.81,"Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.",109220,26946.1319,"Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime."
"Total - Serious violent crime, Male head of household, Black, non-Hispanic",Serious violent crime,Male head of household,"Black, non-Hispanic",2007,,,"Reporting standards not met. Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.",,,"Reporting standards not met. Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime."
"Total - Serious violent crime, Male head of household, Black, non-Hispanic",Serious violent crime,Male head of household,"Black, non-Hispanic",2008,,,"Reporting standards not met. Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.",,,"Reporting standards not met. Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime."
"Total - Serious violent crime, Male head of household, Black, non-Hispanic",Serious violent crime,Male head of household,"Black, non-Hispanic",2009,2.9,0.85,"Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.",84940,26605.1805,"Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime."
"Total - Serious violent crime, Male head of household, Black, non-Hispanic",Serious violent crime,Male head of household,"Black, non-Hispanic",2010,,,"Reporting standards not met. Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.",,,"Reporting standards not met. Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime."
"Total - Serious violent crime, Male head of household, Black, non-Hispanic",Serious violent crime,Male head of household,"Black, non-Hispanic",2011,,,"Reporting standards not met. Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.",,,"Reporting standards not met. Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime."
"Total - Serious violent crime, Male head of household, Black, non-Hispanic",Serious violent crime,Male head of household,"Black, non-Hispanic",2012,1.6,0.52,"Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.",51020,17189.8682,"Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime."
"Total - Serious violent crime, Male head of household, Black, non-Hispanic",Serious violent crime,Male head of household,"Black, non-Hispanic",2013,,,"Reporting standards not met. Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.",,,"Reporting standards not met. Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime."
"Total - Serious violent crime, Male head of household, Black, non-Hispanic",Serious violent crime,Male head of household,"Black, non-Hispanic",2014,,,"Reporting standards not met. Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.",,,"Reporting standards not met. Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime."
"Total - Serious violent crime, Male head of household, Hispanic",Serious violent crime,Male head of household,Hispanic,2000,2.6,0.53,"Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.",152510,32618.4074,"Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime."
"Total - Serious violent crime, Male head of household, Hispanic",Serious violent crime,Male head of household,Hispanic,2001,2.7,0.53,"Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.",157730,31996.9994,"Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime."
"Total - Serious violent crime, Male head of household, Hispanic",Serious violent crime,Male head of household,Hispanic,2002,1.5,0.38,"Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.",91500,24124.5316,"Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime."
"Total - Serious violent crime, Male head of household, Hispanic",Serious violent crime,Male head of household,Hispanic,2003,1.4,0.36,"Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.",94000,24291.6241,"Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime."
"Total - Serious violent crime, Male head of household, Hispanic",Serious violent crime,Male head of household,Hispanic,2004,1.4,0.35,"Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.",92000,22848.3696,"Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime."
"Total - Serious violent crime, Male head of household, Hispanic",Serious violent crime,Male head of household,Hispanic,2005,2.5,0.53,"Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.",162910,35664.8322,"Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime."
"Total - Serious violent crime, Male head of household, Hispanic",Serious violent crime,Male head of household,Hispanic,2006,2,0.47,"Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.",117820,28257.9723,"Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime."
"Total - Serious violent crime, Male head of household, Hispanic",Serious violent crime,Male head of household,Hispanic,2007,2.6,0.49,"Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.",161750,32425.7695,"Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime."
"Total - Serious violent crime, Male head of household, Hispanic",Serious violent crime,Male head of household,Hispanic,2008,2.1,0.54,"Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.",130930,34735.0101,"Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime."
"Total - Serious violent crime, Male head of household, Hispanic",Serious violent crime,Male head of household,Hispanic,2009,1.7,0.48,"Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.",109840,31401.7436,"Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime."
"Total - Serious violent crime, Male head of household, Hispanic",Serious violent crime,Male head of household,Hispanic,2010,0.7,0.25,"Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.",44630,15754.0863,"Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime."
"Total - Serious violent crime, Male head of household, Hispanic",Serious violent crime,Male head of household,Hispanic,2011,2.1,0.46,"Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.",126840,29380.9818,"Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime."
"Total - Serious violent crime, Male head of household, Hispanic",Serious violent crime,Male head of household,Hispanic,2012,1.6,0.4,"Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.",107760,26738.2720,"Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime."
"Total - Serious violent crime, Male head of household, Hispanic",Serious violent crime,Male head of household,Hispanic,2013,2,0.47,"Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.",132510,33330.3095,"Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime."
"Total - Serious violent crime, Male head of household, Hispanic",Serious violent crime,Male head of household,Hispanic,2014,2.1,0.48,"Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.",138380,32717.0392,"Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime."
"Total - Serious violent crime, Male head of household, American Indian or Alaska Native, non-Hispanic",Serious violent crime,Male head of household,"American Indian or Alaska Native, non-Hispanic",2000,,,"Reporting standards not met. Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.",,,"Reporting standards not met. Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime."
"Total - Serious violent crime, Male head of household, American Indian or Alaska Native, non-Hispanic",Serious violent crime,Male head of household,"American Indian or Alaska Native, non-Hispanic",2001,,,"Reporting standards not met. Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.",,,"Reporting standards not met. Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime."
"Total - Serious violent crime, Male head of household, American Indian or Alaska Native, non-Hispanic",Serious violent crime,Male head of household,"American Indian or Alaska Native, non-Hispanic",2002,,,"Reporting standards not met. Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.",,,"Reporting standards not met. Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime."
"Total - Serious violent crime, Male head of household, American Indian or Alaska Native, non-Hispanic",Serious violent crime,Male head of household,"American Indian or Alaska Native, non-Hispanic",2003,,,"Reporting standards not met. Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.",,,"Reporting standards not met. Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime."
"Total - Serious violent crime, Male head of household, American Indian or Alaska Native, non-Hispanic",Serious violent crime,Male head of household,"American Indian or Alaska Native, non-Hispanic",2004,,,"Reporting standards not met. Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.",,,"Reporting standards not met. Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime."
"Total - Serious violent crime, Male head of household, American Indian or Alaska Native, non-Hispanic",Serious violent crime,Male head of household,"American Indian or Alaska Native, non-Hispanic",2005,,,"Reporting standards not met. Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.",,,"Reporting standards not met. Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime."
"Total - Serious violent crime, Male head of household, American Indian or Alaska Native, non-Hispanic",Serious violent crime,Male head of household,"American Indian or Alaska Native, non-Hispanic",2006,,,"Reporting standards not met. Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.",,,"Reporting standards not met. Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime."
"Total - Serious violent crime, Male head of household, American Indian or Alaska Native, non-Hispanic",Serious violent crime,Male head of household,"American Indian or Alaska Native, non-Hispanic",2007,,,"Reporting standards not met. Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.",,,"Reporting standards not met. Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime."
"Total - Serious violent crime, Male head of household, American Indian or Alaska Native, non-Hispanic",Serious violent crime,Male head of household,"American Indian or Alaska Native, non-Hispanic",2008,,,"Reporting standards not met. Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.",,,"Reporting standards not met. Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime."
"Total - Serious violent crime, Male head of household, American Indian or Alaska Native, non-Hispanic",Serious violent crime,Male head of household,"American Indian or Alaska Native, non-Hispanic",2009,,,"Reporting standards not met. Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.",,,"Reporting standards not met. Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime."
"Total - Serious violent crime, Male head of household, American Indian or Alaska Native, non-Hispanic",Serious violent crime,Male head of household,"American Indian or Alaska Native, non-Hispanic",2010,,,"Reporting standards not met. Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.",,,"Reporting standards not met. Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime."
"Total - Serious violent crime, Male head of household, American Indian or Alaska Native, non-Hispanic",Serious violent crime,Male head of household,"American Indian or Alaska Native, non-Hispanic",2011,,,"Reporting standards not met. Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.",,,"Reporting standards not met. Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime."
"Total - Serious violent crime, Male head of household, American Indian or Alaska Native, non-Hispanic",Serious violent crime,Male head of household,"American Indian or Alaska Native, non-Hispanic",2012,,,"Reporting standards not met. Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.",,,"Reporting standards not met. Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime."
"Total - Serious violent crime, Male head of household, American Indian or Alaska Native, non-Hispanic",Serious violent crime,Male head of household,"American Indian or Alaska Native, non-Hispanic",2013,,,"Reporting standards not met. Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.",,,"Reporting standards not met. Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime."
"Total - Serious violent crime, Male head of household, American Indian or Alaska Native, non-Hispanic",Serious violent crime,Male head of household,"American Indian or Alaska Native, non-Hispanic",2014,,,"Reporting standards not met. Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.",,,"Reporting standards not met. Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime."
"Total - Serious violent crime, Male head of household, Asian or Pacific Islander, non-Hispanic",Serious violent crime,Male head of household,"Asian or Pacific Islander, non-Hispanic",2000,,,"Reporting standards not met. Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.",,,"Reporting standards not met. Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime."
"Total - Serious violent crime, Male head of household, Asian or Pacific Islander, non-Hispanic",Serious violent crime,Male head of household,"Asian or Pacific Islander, non-Hispanic",2001,,,"Reporting standards not met. Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.",,,"Reporting standards not met. Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime."
"Total - Serious violent crime, Male head of household, Asian or Pacific Islander, non-Hispanic",Serious violent crime,Male head of household,"Asian or Pacific Islander, non-Hispanic",2002,,,"Reporting standards not met. Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.",,,"Reporting standards not met. Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime."
"Total - Serious violent crime, Male head of household, Asian or Pacific Islander, non-Hispanic",Serious violent crime,Male head of household,"Asian or Pacific Islander, non-Hispanic",2003,,,"Reporting standards not met. Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.",,,"Reporting standards not met. Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime."
"Total - Serious violent crime, Male head of household, Asian or Pacific Islander, non-Hispanic",Serious violent crime,Male head of household,"Asian or Pacific Islander, non-Hispanic",2004,,,"Reporting standards not met. Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.",,,"Reporting standards not met. Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime."
"Total - Serious violent crime, Male head of household, Asian or Pacific Islander, non-Hispanic",Serious violent crime,Male head of household,"Asian or Pacific Islander, non-Hispanic",2005,,,"Reporting standards not met. Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.",,,"Reporting standards not met. Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime."
"Total - Serious violent crime, Male head of household, Asian or Pacific Islander, non-Hispanic",Serious violent crime,Male head of household,"Asian or Pacific Islander, non-Hispanic",2006,,,"Reporting standards not met. Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.",,,"Reporting standards not met. Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime."
"Total - Serious violent crime, Male head of household, Asian or Pacific Islander, non-Hispanic",Serious violent crime,Male head of household,"Asian or Pacific Islander, non-Hispanic",2007,,,"Reporting standards not met. Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.",,,"Reporting standards not met. Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime."
"Total - Serious violent crime, Male head of household, Asian or Pacific Islander, non-Hispanic",Serious violent crime,Male head of household,"Asian or Pacific Islander, non-Hispanic",2008,,,"Reporting standards not met. Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime.",,,"Reporting standards not met. Includes rape, sexual assault, robbery, and aggravated assault. Detail may not sum to total because one or more household members may experience both a serious violent crime and simple assault. Data do not indicate whether children living in households were present during the violent crime or witnessed the violent crime."
